date,real_GDP,GDP_deflator,EBP,y1_yield,fiscal_deficit_ratio,real_tax_revenues,real_transfers,real_gov_spending
1987-01-01,910.3463930104825,396.1841212409007,0.482971684335431,5.92655737704918,5.268864476311242,739.4495937447028,593.6131159439011,775.9664490726751
1987-04-01,911.4187997625571,396.86112567563373,0.0139269963915563,6.764444444444445,4.162637115701519,746.566594451795,594.3009795676513,776.738718984612
1987-07-01,912.2822393958646,397.6311495310508,0.222447576896834,7.1185937500000005,4.315050193927596,744.9564773773147,593.4151670962045,776.8435621736973
1987-10-01,913.9846231291203,398.37853716550364,-0.169023830948316,7.251612903225807,4.36234548204331,745.7370155059633,592.9487481615888,778.3316928686218
1988-01-01,914.5001744171957,399.1480926762862,-0.038397512285746,6.771612903225806,4.149725271476248,746.8572102896001,597.716995167968,777.4938956482463
1988-04-01,915.8056481847482,400.14248562904066,0.0564420556853558,7.305873015873016,3.926928445197682,746.7616639429303,596.7382162366364,777.7919555861488
1988-07-01,916.3899077052257,401.3586320837588,0.040822809754483,8.015,3.6102585070326807,747.4880454180236,595.8182739114945,777.8034741978296
1988-10-01,917.7135646426292,402.2741143362408,0.306608011860101,8.533442622950819,3.683371951042216,748.907770953848,595.05833687625,779.7250188069129
1989-01-01,918.7248290352503,403.23273044715745,0.363946951780532,9.300163934426228,3.2264169327737275,751.9023365011132,599.2935304990475,779.2838069532099
1989-04-01,919.4850318152851,404.3086354938289,0.534444716845446,8.9134375,3.465715497812639,751.0799654953645,598.6005419732708,780.8095881152451
1989-07-01,920.223037466994,405.0479748575162,0.698923783356724,8.103809523809524,3.551800455282498,751.6616616501033,598.3158488426011,781.7046370431228
1989-10-01,920.41982476909,405.72828500812744,0.56380862293443,7.829516129032259,3.524110803156369,752.2218434324301,598.1754889275738,782.2046813792906
1990-01-01,921.5067780152992,406.8120360681268,0.365047511607655,8.131451612903225,4.016959147077299,751.4611911107328,602.198506181962,783.7914595909729
1990-04-01,921.8690908989831,407.92478447426765,0.145715657820712,8.270952380952382,3.998118800784157,752.3664565818711,602.2270558292586,783.9492497266099
1990-07-01,921.9356504225449,408.78568960865465,-0.0476766961014982,7.828253968253969,3.8769992133152527,752.8351427706526,601.7482472296169,784.1085215571875
1990-10-01,921.0210763577377,409.5460605880297,0.2666694851338,7.313064516129033,4.460747880047289,753.2255867538232,601.9097916735772,784.774847487473
1991-01-01,920.552037442887,410.51361233002996,0.304547273505254,6.441999999999999,3.6251292008288756,750.9071652744542,606.570323521436,785.3690246341517
1991-04-01,921.3287026322932,411.2315447543337,0.161829953417472,6.23796875,4.526460690643921,750.6162114731782,606.7540417544299,785.7748836120521
1991-07-01,921.8327886676338,411.996357483972,0.168365587815375,5.89515625,5.082810218666414,750.9158779633016,606.5187977822626,785.4945273502524
1991-10-01,922.1807275024446,412.5762476667062,0.168465008704822,4.873870967741936,4.972655613979639,751.3058803963432,606.6031953089689,784.7600024269052
1992-01-01,923.3708693445872,412.97438805739614,0.0677556584167546,4.364354838709677,5.4864907084626315,751.7684504934676,610.5083713753411,785.6428008594453
1992-04-01,924.4493362038583,413.5694417399402,0.0159755180407748,4.217777777777778,5.485087307323725,752.413265913352,611.0436765662481,785.4491798250951
1992-07-01,925.4325965037328,414.0480413166096,0.0663355823030336,3.42015625,5.616082864892417,752.6093605587206,610.9547568828167,786.0841092234296
1992-10-01,926.4700518760643,414.7490306431188,0.0959063090984632,3.5638709677419356,5.445093950532595,754.2952694481011,610.6419348377907,786.0725035114783
