horizon,real_GDP_median,real_GDP_lo68,real_GDP_hi68,real_GDP_lo90,real_GDP_hi90,GDP_deflator_median,GDP_deflator_lo68,GDP_deflator_hi68,GDP_deflator_lo90,GDP_deflator_hi90,EBP_median,EBP_lo68,EBP_hi68,EBP_lo90,EBP_hi90,y1_yield_median,y1_yield_lo68,y1_yield_hi68,y1_yield_lo90,y1_yield_hi90
10,0.3936793073003719,0.11343419022024623,0.45764641444173026,0.015161508557424387,0.6904755595038319,0.046304516120209416,-0.03376362768607934,0.11370655000732688,-0.09141746477881656,0.1588097411761133,0.07302804252484457,0.04838831949483135,0.09578448901204975,0.033637800836238706,0.11092334951094907,0.09179944835251538,-0.03597329865928884,0.11143843182831192,-0.0781940531622866,0.18090794009672134
11,0.3563257367974779,0.0749680323140873,0.4145510824471065,-0.01612275962466269,0.6355999683350924,0.03366809241152339,-0.0457843202812759,0.10358274410348679,-0.10833064038017798,0.14820423301929023,0.07658578066713237,0.046822220880253874,0.09785246751992621,0.03087169851854055,0.11255685763498631,0.0337936667949682,-0.07908984501706803,0.057143859176146575,-0.13243315483433382,0.11933174455602918
12,0.32026955319510014,0.03742915369894348,0.3759234008090151,-0.059371539453387634,0.582927454801149,0.02028746882856476,-0.05930014388164285,0.09544953403321248,-0.1203697549470488,0.14014337625449685,0.07622373480636571,0.04082923000045488,0.09622434907196188,0.026180696884050326,0.11208690950556222,-0.017065393598827146,-0.11970398167772417,0.015551302179324392,-0.16938125882854133,0.0712264277425375
13,0.28722677625728454,0.007815710164141643,0.3487958215813077,-0.07146124067048727,0.5305720253760835,0.007314798336131037,-0.07244871220672484,0.08677683327335732,-0.12769535291721915,0.13466564916950682,0.07227859521033753,0.0338793415673784,0.09114955662789782,0.018175547999586938,0.11082050770024149,-0.05917768809675898,-0.15379323107188442,-0.02176305317040532,-0.20105167647415284,0.02481148843683463
14,0.25832600700262054,-0.015930145557007423,0.318966077377007,-0.08973067235355742,0.48555757759759477,-0.004319403596593413,-0.08618883024513531,0.07755638768909234,-0.13260139847968377,0.12554234548741908,0.06534604447894465,0.024255561581053086,0.08114198010667334,0.010862703808304272,0.10368417221525715,-0.0909717370877743,-0.1762321678296518,-0.041757450420097764,-0.21875511112354998,-0.0031032018832831848
15,0.23416456961103613,-0.027063939721854613,0.298779650959599,-0.09970463397759251,0.454751083829392,-0.013841330039002717,-0.0934853066712784,0.07389596399594549,-0.13393645063205606,0.1220317068342326,0.05645295981395422,0.016546404485965373,0.07013322652741802,0.0009390183280780626,0.09514827830167565,-0.11232868199453545,-0.18948264978318388,-0.05309974769407587,-0.23329075490947043,-0.014363310914239506
16,0.21494965292484539,-0.03514452817478417,0.26782327949838103,-0.10608515087750368,0.433974045603947,-0.020710603455221063,-0.0936697302705343,0.06936501905037838,-0.13870156582774196,0.12065255567130949,0.04653977789559276,0.007258292403200805,0.05784282848771352,-0.011020139634538316,0.0847702035765215,-0.12391465046252167,-0.19656657707391745,-0.052427313897320256,-0.2304877294979373,-0.012247904531856542
17,0.20053757022269758,-0.0372905702874948,0.2500126262100827,-0.10382974756971326,0.4101260573409805,-0.024620065519284196,-0.09291497204478541,0.06855578032151222,-0.14201710595763403,0.12569887920313055,0.03626189494966814,-0.0009111705036573296,0.04587681472778961,-0.016832632206690595,0.07444782011400769,-0.12657817339051966,-0.1921028234520394,-0.050164356693994765,-0.22916950417665788,0.0005223588693539145
18,0.1905307583782741,-0.03981776008809744,0.23739034298683231,-0.11182252371172033,0.3889282729591659,-0.02548775550565878,-0.09055414513528054,0.07110741796967458,-0.13986837207972547,0.13327220913247662,0.026198697488385284,-0.00799495545486532,0.034804757066998794,-0.02350729984281608,0.06328670685868522,-0.12154771928842992,-0.1778507819795767,-0.03900872450752963,-0.22223270383145055,0.012480384139199885
19,0.18435498743607406,-0.03928602509056463,0.2294620703808057,-0.10555619047941102,0.37434834106299986,-0.023425751466477907,-0.08304344109720807,0.0719903998612976,-0.13187121301663687,0.13858150316901827,0.016858466372067324,-0.014064986598286677,0.026460202225641234,-0.028115906491792922,0.051555183007292144,-0.11041498511545192,-0.1574716102062468,-0.023143080739909352,-0.21517946461718948,0.02012564557501968
20,0.1813110722227077,-0.03559144963158011,0.2274929132903205,-0.09491008675794084,0.35187812244583844,-0.018696808834006637,-0.0739469573308358,0.07960983434659231,-0.12198624473101362,0.14211678650281875,0.0086161556744341,-0.020880677153484788,0.019048364973699158,-0.03284777740718948,0.04138118350038193,-0.09486793683238151,-0.13800807710127397,-0.005600215220058107,-0.19642353554889086,0.02818606049233542
